chi2,chi2_dof,m_chi_GeV,m_phi_MeV,alpha,lambda,is_relic,omega_h2,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1000,sigma_m_1100,sigma_m_1200,sigma_m_4700
17.3002,1.7300,24.420531,2.724146,1.600831e-04,1.4351,0,,5.138497e+00,3.957482e+00,3.504325e+00,3.131324e+00,2.959297e+00,2.794526e+00,4.409329e-01,3.603747e-01,3.114791e-02,2.574910e-02,2.157186e-02,1.322617e-03
17.3050,1.7305,56.898660,5.275657,1.254516e-03,13.5301,0,,4.393210e+00,5.107828e+00,5.382610e+00,5.279741e+00,5.151963e+00,4.998513e+00,1.601469e+00,1.408024e+00,2.031003e-01,1.703472e-01,1.447267e-01,9.444231e-03
17.3533,1.7353,100.000000,0.241395,3.474955e-06,1.4395,0,,3.119037e+00,5.048793e-01,2.806723e-01,1.779873e-01,1.465997e-01,1.222113e-01,6.597268e-03,5.241885e-03,3.387289e-04,2.650337e-04,2.100026e-04,3.042811e-06
17.3551,1.7355,100.000000,0.269506,3.903842e-06,1.4485,0,,3.133943e+00,5.126836e-01,2.858236e-01,1.810098e-01,1.492900e-01,1.246327e-01,6.701401e-03,5.324207e-03,3.655046e-04,2.863451e-04,2.277360e-04,3.473270e-06
17.3715,1.7371,86.851137,0.905358,1.567399e-05,1.5036,0,,3.522212e+00,7.836772e-01,4.575988e-01,2.982480e-01,2.479414e-01,2.092008e-01,1.172467e-02,9.309350e-03,6.871113e-04,5.663959e-04,4.749117e-04,2.424633e-05
17.3804,1.7380,56.898660,1.406644,3.171883e-05,1.2830,0,,4.027779e+00,1.545884e+00,9.942133e-01,6.834803e-01,5.784690e-01,4.952995e-01,3.148093e-02,2.504662e-02,1.846385e-03,1.521853e-03,1.270378e-03,7.955231e-05
17.3968,1.7397,100.000000,0.810922,1.402518e-05,1.7295,0,,3.431441e+00,6.996535e-01,4.038817e-01,2.615880e-01,2.168294e-01,1.826552e-01,1.003908e-02,7.947956e-03,5.921759e-04,4.891260e-04,4.099616e-04,1.771243e-05
17.3978,1.7398,65.512856,4.232476,6.815397e-04,10.5493,0,,4.858033e+00,5.746652e+00,5.440361e+00,4.932814e+00,4.670809e+00,4.417856e+00,9.791174e-01,8.281694e-01,8.545255e-02,7.075824e-02,5.943424e-02,3.677897e-03
17.4218,1.7422,86.851137,0.300892,4.138061e-06,1.1944,0,,3.190468e+00,5.336271e-01,2.990576e-01,1.904223e-01,1.566155e-01,1.309335e-01,7.021211e-03,5.568554e-03,4.262477e-04,3.383351e-04,2.729149e-04,5.512920e-06
17.4444,1.7444,28.117687,2.185488,9.197676e-05,1.1833,0,,4.986184e+00,3.407444e+00,2.844386e+00,2.372849e+00,2.167220e+00,1.980702e+00,2.108659e-01,1.702425e-01,1.379397e-02,1.135847e-02,9.507194e-03,5.780415e-04
